,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
GPT2,0.088654281,6.234535263,6.864500267,1.02E-11,8.16E-10,15.71801931,0.805702943,0.805702943
3-Sep,0.145007809,5.937959991,6.811020115,1.47E-11,1.13E-09,15.63035084,1.297650175,1.297650175
TACC3,0.069993208,6.265161922,6.829032691,1.30E-11,1.01E-09,15.46760287,0.629562497,0.629562497
C12orf48,0.087655933,5.841142249,6.762170882,2.03E-11,1.53E-09,15.42292437,0.772821332,0.772821332
MGC72080,0.110416791,5.694993563,6.7510114,2.19E-11,1.61E-09,15.41071949,0.970858617,0.970858617
CHIC2,0.04952975,5.947247248,6.766817186,1.97E-11,1.50E-09,15.38734874,0.437114974,0.437114974
NARF,0.050892573,6.255489929,6.811699739,1.46E-11,1.12E-09,15.37215633,0.455443698,0.455443698
ESPL1,0.103650147,6.026733809,6.7810323,1.79E-11,1.37E-09,15.36800822,0.918673245,0.918673245
RBM17,0.042926854,6.390855487,6.818590405,1.39E-11,1.08E-09,15.31406597,0.384947876,0.384947876
WDR62,0.096055704,5.940840264,6.752163381,2.17E-11,1.61E-09,15.2724025,0.844594071,0.844594071
EXO1,0.124053753,5.940242776,6.737842241,2.39E-11,1.73E-09,15.16433491,1.086838235,1.086838235
DNAJB11,0.04366573,6.380936687,6.780357401,1.80E-11,1.37E-09,15.07042826,0.387006367,0.387006367
AIF1L,0.108733008,6.241435554,6.765312287,1.99E-11,1.50E-09,15.05020019,0.959308345,0.959308345
MRPS5,0.043506983,6.242871944,6.760061886,2.06E-11,1.54E-09,15.04954651,0.38339874,0.38339874
KIF4A,0.105302278,6.133774592,6.740671082,2.35E-11,1.71E-09,14.99389518,0.923211911,0.923211911
BMS1,0.037716998,6.368951074,6.762073866,2.03E-11,1.53E-09,14.96268373,0.332533113,0.332533113
C16orf87,0.071841412,5.788423437,6.68156048,3.47E-11,2.45E-09,14.94241676,0.618671192,0.618671192
C8orf51,0.095766521,5.72721342,6.6784604,3.54E-11,2.49E-09,14.94190991,0.824002377,0.824002377
KIAA0040,-0.074810043,6.455162991,-6.757135857,2.10E-11,1.56E-09,14.92205323,-0.658740937,0.658740937
MCM6,0.052736406,6.362755603,6.751088537,2.19E-11,1.61E-09,14.88861227,0.463693912,0.463693912
TENC1,-0.058605904,6.34947069,-6.736054529,2.42E-11,1.74E-09,14.85910866,-0.513331706,0.513331706
FUCA1,-0.057219379,6.31368225,-6.727695902,2.56E-11,1.83E-09,14.83521874,-0.499987142,0.499987142
YARS,0.042679361,6.436162589,6.749496223,2.21E-11,1.62E-09,14.83042902,0.375147518,0.375147518
POLR3G,0.108341859,5.544619591,6.657431796,4.07E-11,2.80E-09,14.81153502,0.926677334,0.926677334
AMD1,0.056879067,6.388960419,6.737195578,2.40E-11,1.73E-09,14.77734186,0.498303415,0.498303415
PFN2,0.073374062,6.424312847,6.740551258,2.35E-11,1.71E-09,14.76693798,0.643289103,0.643289103
MEMO1,0.052242792,6.127400907,6.690712473,3.27E-11,2.31E-09,14.708405,0.451185913,0.451185913
AQP9,0.29015486,5.259185851,6.654483146,4.15E-11,2.84E-09,14.69296609,2.479766727,2.479766727
MAF1,0.043930308,6.465295602,6.726412962,2.58E-11,1.84E-09,14.65954208,0.383772667,0.383772667
EXOSC4,0.072511692,6.143624852,6.67759771,3.56E-11,2.49E-09,14.59526511,0.623883607,0.623883607
C9orf140,0.085332367,6.128841227,6.6652568,3.87E-11,2.68E-09,14.52310723,0.731409622,0.731409622
FANCD2,0.065188869,6.125404522,6.661562831,3.96E-11,2.73E-09,14.51512792,0.558249195,0.558249195
PRIM2,0.059466371,5.965239758,6.633859246,4.75E-11,3.22E-09,14.5103584,0.504989301,0.504989301
CHORDC1,0.056924859,6.173760492,6.664799665,3.88E-11,2.68E-09,14.49135012,0.487920244,0.487920244
CCDC99,0.056181321,6.022679196,6.63577874,4.69E-11,3.19E-09,14.46580815,0.477315909,0.477315909
ENO1,0.043570196,6.783900764,6.730063429,2.52E-11,1.81E-09,14.46302304,0.380948554,0.380948554
LYAR,0.053700852,6.032415163,6.604367914,5.76E-11,3.84E-09,14.25738741,0.451922538,0.451922538
MEIS3P1,-0.07998464,6.085188845,-6.58156366,6.69E-11,4.34E-09,14.15090565,-0.668873522,0.668873522
PKMYT1,0.105772026,6.0490992,6.589112089,6.37E-11,4.17E-09,14.10992931,0.886325476,0.886325476
ZNF491,-0.137818558,5.446602949,-6.573708006,7.04E-11,4.52E-09,14.10989426,-1.150037635,1.150037635
INCENP,0.064808235,6.121444332,6.594673526,6.14E-11,4.06E-09,14.09243904,0.543805145,0.543805145
PEBP4,-0.629508729,3.888405268,-6.96195134,5.27E-12,4.39E-10,14.01913475,-5.890960019,5.890960019
C7orf63,-0.190961105,5.621409075,-6.535141054,9.04E-11,5.64E-09,13.9980462,-1.575127909,1.575127909
RRP1B,0.040178465,6.340241459,6.60820444,5.62E-11,3.77E-09,13.99076326,0.33844338,0.33844338
NUSAP1,0.080639527,6.255920834,6.597403104,6.03E-11,4.01E-09,13.97103825,0.677151533,0.677151533
SLC2A6,0.119848563,5.721287128,6.523709852,9.74E-11,5.96E-09,13.96597438,0.985692343,0.985692343
C9orf100,0.090853461,5.825880152,6.529551969,9.37E-11,5.78E-09,13.95475872,0.748467159,0.748467159
KIF11,0.075047977,6.235617247,6.590959692,6.29E-11,4.14E-09,13.95074627,0.62915501,0.62915501
PSMD7,0.041334667,6.398321978,6.608596608,5.61E-11,3.77E-09,13.94960061,0.348182644,0.348182644
KIAA1524,0.096214399,5.915662245,6.531757379,9.24E-11,5.71E-09,13.89109252,0.793096876,0.793096876
HHAT,-0.098053164,6.066203878,-6.534291641,9.09E-11,5.65E-09,13.88524112,-0.808749631,0.808749631
SPATA4,-0.606140912,3.847491138,-6.937196633,6.24E-12,5.17E-10,13.87314241,-5.628975634,5.628975634
TMEM189,0.051739705,6.291982739,6.582889348,6.63E-11,4.33E-09,13.86263032,0.432737954,0.432737954
SPAG5,0.081616138,6.213778381,6.567511304,7.33E-11,4.69E-09,13.81860958,0.679738815,0.679738815
BBS5,-0.069938308,5.931357739,-6.498984687,1.14E-10,6.87E-09,13.76304115,-0.570921843,0.570921843
GINS4,0.095584221,5.936104127,6.514110857,1.04E-10,6.33E-09,13.76162995,0.783685898,0.783685898
NOP58,0.04069594,6.398232226,6.577534331,6.87E-11,4.44E-09,13.75199524,0.339915078,0.339915078
SF3B3,0.041058263,6.54339285,6.593214833,6.20E-11,4.09E-09,13.75041117,0.344409425,0.344409425
PSRC1,0.078929375,5.932228193,6.508218107,1.08E-10,6.53E-09,13.73853969,0.646042807,0.646042807
HMGA1,0.062315575,6.42825134,6.574024058,7.03E-11,4.52E-09,13.69868109,0.519997145,0.519997145
C9orf68,-0.295585622,5.230553505,-6.582502526,6.65E-11,4.33E-09,13.68746196,-2.472204205,2.472204205
IMPA2,0.090221191,6.085651798,6.525866172,9.60E-11,5.90E-09,13.67980939,0.742446797,0.742446797
FZD6,0.087471043,6.274677188,6.553094109,8.05E-11,5.12E-09,13.67021502,0.725189875,0.725189875
CLCN5,0.07028284,5.939633534,6.497309657,1.15E-10,6.92E-09,13.66737911,0.573497988,0.573497988
SGOL2,0.06855355,6.010788547,6.508537418,1.07E-10,6.53E-09,13.66632866,0.56111591,0.56111591
RANBP1,0.0492902,6.302938196,6.543059231,8.59E-11,5.41E-09,13.60275107,0.407459955,0.407459955
NKRF,0.046673343,6.090276806,6.506439419,1.09E-10,6.59E-09,13.58073899,0.381854576,0.381854576
SPC25,0.10048179,5.805626238,6.459855538,1.47E-10,8.57E-09,13.5321408,0.810597287,0.810597287
STK38,0.043018935,6.358176983,6.535903004,9.00E-11,5.64E-09,13.51676042,0.354838359,0.354838359
ESRP1,0.062698914,6.522977832,6.555033008,7.95E-11,5.07E-09,13.51242807,0.520068014,0.520068014
FZD9,0.398608073,4.50989638,6.639251573,4.59E-11,3.13E-09,13.50610688,3.389917959,3.389917959
KDM4B,-0.070429413,6.44947509,-6.535233083,9.04E-11,5.64E-09,13.50023346,-0.580931565,0.580931565
STMN1,0.059620304,6.540563109,6.552439463,8.08E-11,5.13E-09,13.48514487,0.494263165,0.494263165
JMJD6,0.050353698,6.154183852,6.501683897,1.12E-10,6.77E-09,13.48057389,0.411361832,0.411361832
NOSTRIN,-0.202806416,5.971832416,-6.446368703,1.60E-10,9.20E-09,13.47138835,-1.629803058,1.629803058
FANCE,0.077726051,5.822884742,6.446004514,1.60E-10,9.20E-09,13.44340211,0.624625976,0.624625976
MCM4,0.062540537,6.435981634,6.534041799,9.11E-11,5.65E-09,13.43980989,0.515838906,0.515838906
C11orf86,0.61414227,2.800636654,6.859593709,1.06E-11,8.34E-10,13.40626767,5.575785019,5.575785019
UCK2,0.05899477,6.164169711,6.482989905,1.27E-10,7.50E-09,13.34744078,0.479338384,0.479338384
C13orf27,0.067636699,5.88450973,6.431787326,1.76E-10,1.00E-08,13.31343034,0.541048197,0.541048197
CCDC86,0.048718878,6.216707465,6.483753398,1.26E-10,7.48E-09,13.30654621,0.395885929,0.395885929
NT5DC2,0.068182764,6.269504122,6.48917005,1.22E-10,7.27E-09,13.28132605,0.554900364,0.554900364
ZNF7,0.044234754,6.200417539,6.475630619,1.33E-10,7.81E-09,13.27420882,0.358618697,0.358618697
UBE2T,0.086611129,6.097429775,6.461472099,1.45E-10,8.51E-09,13.26667985,0.698979319,0.698979319
RACGAP1,0.065704145,6.284904512,6.48615171,1.24E-10,7.39E-09,13.25123997,0.534260771,0.534260771
FANCB,0.131396035,5.278426924,6.428459783,1.79E-10,1.02E-08,13.2499814,1.050197599,1.050197599
ZNF695,0.205367778,5.411141332,6.395441312,2.21E-10,1.22E-08,13.17922781,1.624962488,1.624962488
ERCC6L,0.104583222,5.809155111,6.401404432,2.13E-10,1.18E-08,13.16811625,0.828974703,0.828974703
SRPK1,0.048704691,6.381781306,6.480938175,1.28E-10,7.57E-09,13.15082011,0.395515025,0.395515025
PDCD5,0.051477828,6.257531621,6.459360369,1.47E-10,8.57E-09,13.11472439,0.415272249,0.415272249
FAM136A,0.046839332,6.279811811,6.454399107,1.52E-10,8.79E-09,13.06662064,0.377326857,0.377326857
PSMB2,0.038511023,6.442726643,6.465435392,1.42E-10,8.32E-09,13.01458444,0.311171328,0.311171328
CKS1B,0.060051082,6.284148591,6.438889715,1.68E-10,9.60E-09,12.95954844,0.481475417,0.481475417
DBF4,0.059211147,6.02981907,6.397114729,2.19E-10,1.21E-08,12.95944377,0.468706403,0.468706403
MTHFD1L,0.084284754,6.03590108,6.3864195,2.34E-10,1.28E-08,12.86921477,0.665110019,0.665110019
RFWD3,0.049101671,6.271533746,6.420856092,1.88E-10,1.06E-08,12.86412032,0.391539196,0.391539196
CHD7,0.07900738,6.225322348,6.416370372,1.94E-10,1.09E-08,12.86070614,0.629223983,0.629223983
BRIX1,0.04453476,6.258876567,6.417749803,1.92E-10,1.08E-08,12.8585232,0.354794889,0.354794889
ASAH1,-0.059842325,6.582685758,-6.448383321,1.58E-10,9.11E-09,12.85575665,-0.481151691,0.481151691
TMCC2,0.14593473,5.486352267,6.336361297,3.22E-10,1.71E-08,12.83933153,1.133635962,1.133635962
ACTL8,0.63184983,4.079816209,6.607417003,5.65E-11,3.78E-09,12.83562351,5.321907475,5.321907475
BNIP3L,-0.044504521,6.464684703,-6.430731126,1.77E-10,1.01E-08,12.82120857,-0.355931823,0.355931823
ABAT,-0.16727125,6.191808642,-6.374179288,2.53E-10,1.37E-08,12.81030369,-1.315343914,1.315343914
PPAT,0.055741872,6.155380091,6.386652485,2.34E-10,1.28E-08,12.76072911,0.439871692,0.439871692
DEFB132,-0.631855471,3.876135495,-6.725808005,2.59E-11,1.84E-09,12.74128245,-5.519739677,5.519739677
CHEK2,0.064667488,5.98177495,6.351568646,2.92E-10,1.57E-08,12.72866438,0.504655595,0.504655595
PHF5A,0.043005478,6.158433363,6.380253828,2.44E-10,1.32E-08,12.72603854,0.338842447,0.338842447
TRIM65,0.047432806,6.197861897,6.383106353,2.39E-10,1.30E-08,12.70012294,0.374041275,0.374041275
PHF15,-0.068880309,6.292777806,-6.384313731,2.38E-10,1.30E-08,12.69007124,-0.543233683,0.543233683
RABEP1,-0.061794479,6.492973342,-6.409369365,2.03E-10,1.13E-08,12.67658871,-0.491018809,0.491018809
THOC4,0.05662755,6.309687441,6.394875938,2.22E-10,1.22E-08,12.66708679,0.448043236,0.448043236
LMNB1,0.065404005,6.333143152,6.383783311,2.38E-10,1.30E-08,12.57543354,0.515800424,0.515800424
LOC100130148,-0.704660338,3.986472978,-6.677252869,3.57E-11,2.49E-09,12.51014831,-6.062829631,6.062829631
PIGW,0.057677512,5.992516133,6.314009098,3.70E-10,1.93E-08,12.49279989,0.444925967,0.444925967
IL12RB2,0.323865115,4.981478014,6.328859169,3.37E-10,1.77E-08,12.46569819,2.510307031,2.510307031
SKP2,0.08558453,5.877966673,6.282110571,4.52E-10,2.30E-08,12.39534936,0.653651627,0.653651627
LRP12,0.082950675,6.013750365,6.304799238,3.92E-10,2.04E-08,12.39432142,0.637992967,0.637992967
GTF2IRD2,-0.057008061,6.094675775,-6.297332565,4.11E-10,2.12E-08,12.36150193,-0.437498858,0.437498858
WDR43,0.037825139,6.316271954,6.342183944,3.10E-10,1.66E-08,12.34618632,0.294299027,0.294299027
TRMU,0.061269966,5.98424545,6.28735516,4.37E-10,2.24E-08,12.33724654,0.468752599,0.468752599
RCC1,0.075508044,6.286265407,6.339002009,3.16E-10,1.69E-08,12.33263225,0.586949585,0.586949585
HIST1H2BJ,0.186674153,5.430277769,6.251972499,5.46E-10,2.72E-08,12.33002749,1.412354487,1.412354487
ASNS,0.069608087,6.194193774,6.320509439,3.55E-10,1.86E-08,12.30571939,0.538112587,0.538112587
CYBRD1,-0.0781841,6.543743042,-6.351085028,2.93E-10,1.57E-08,12.28845798,-0.610126041,0.610126041
NOLC1,0.036758528,6.504981662,6.351623928,2.92E-10,1.57E-08,12.26590631,0.286858165,0.286858165
PDXP,0.057046765,6.017517422,6.280438991,4.57E-10,2.32E-08,12.26265198,0.435499742,0.435499742
FAM63A,-0.072525545,6.281284445,-6.307248447,3.86E-10,2.01E-08,12.23086595,-0.558211488,0.558211488
PCNA,0.043575257,6.478833324,6.338703244,3.17E-10,1.69E-08,12.20178351,0.338725218,0.338725218
CENPO,0.072498741,5.855287801,6.242723196,5.78E-10,2.85E-08,12.18608363,0.547022848,0.547022848
HMGB2,0.052716584,6.477093636,6.330451425,3.34E-10,1.76E-08,12.1483035,0.408779055,0.408779055
LOC100128977,-0.725942374,3.695448481,-6.615523306,5.36E-11,3.62E-09,12.1018262,-6.127917635,6.127917635
PAICS,0.04092765,6.538961731,6.324614937,3.46E-10,1.82E-08,12.07477618,0.31680682,0.31680682
KCMF1,0.034195054,6.357010747,6.296305912,4.14E-10,2.12E-08,12.03491162,0.262367509,0.262367509
C5orf34,0.081334776,5.644793091,6.196974214,7.67E-10,3.64E-08,12.01813527,0.605071899,0.605071899
E2F5,0.080412403,5.970434095,6.234052711,6.10E-10,2.98E-08,12.01776904,0.605114537,0.605114537
PCM1,-0.049352937,6.508582318,-6.303525134,3.95E-10,2.05E-08,12.00809488,-0.379470106,0.379470106
LRIG1,-0.064568216,6.50995458,-6.294077208,4.19E-10,2.15E-08,11.95671124,-0.495092623,0.495092623
DUSP4,-0.148093603,6.188511335,-6.232566663,6.15E-10,3.00E-08,11.93757987,-1.114144644,1.114144644
ZNF696,0.055243204,6.012651152,6.225096378,6.45E-10,3.12E-08,11.93474256,0.414617325,0.414617325
UTP11L,0.036960773,6.216788741,6.259280399,5.21E-10,2.63E-08,11.93097542,0.280166986,0.280166986
RFC3,0.055569074,6.109105168,6.232552196,6.15E-10,3.00E-08,11.870718,0.41805983,0.41805983
UHRF1,0.085032734,6.083850832,6.229705101,6.26E-10,3.04E-08,11.86279121,0.639161149,0.639161149
NEK2,0.091379415,6.122235601,6.236716847,6.00E-10,2.95E-08,11.85901365,0.688101547,0.688101547
PNO1,0.035457822,6.208198674,6.243217559,5.76E-10,2.85E-08,11.84328312,0.267547722,0.267547722
TCF19,0.061494179,6.195622173,6.24356278,5.75E-10,2.85E-08,11.8425456,0.464005596,0.464005596
FEN1,0.054354132,6.273218515,6.25382847,5.39E-10,2.69E-08,11.83596622,0.411449806,0.411449806
PDE7A,0.058093339,6.2810894,6.24976956,5.53E-10,2.75E-08,11.80188036,0.439245239,0.439245239
ZFYVE1,-0.04221672,6.209131685,-6.222999571,6.53E-10,3.16E-08,11.77299818,-0.316656331,0.316656331
KIAA0196,0.05085411,6.44209286,6.258819749,5.23E-10,2.63E-08,11.73678322,0.385473168,0.385473168
TAF4B,0.108614256,5.809502562,6.161403728,9.55E-10,4.44E-08,11.71836442,0.798581166,0.798581166
COX4NB,0.046354809,6.130575816,6.208090085,7.16E-10,3.44E-08,11.70673121,0.345985056,0.345985056
PRKAG3,0.530233287,2.643918336,6.544366165,8.52E-11,5.38E-09,11.69127342,4.384414036,4.384414036
SEC14L2,-0.127454673,6.241199708,-6.200628304,7.50E-10,3.56E-08,11.66973947,-0.949286016,0.949286016
SRD5A1,0.077137633,6.043191267,6.188729829,8.07E-10,3.80E-08,11.66688713,0.572385339,0.572385339
PNPLA2,-0.054338734,6.423375689,-6.235957131,6.03E-10,2.96E-08,11.66244377,-0.409126817,0.409126817
GPSM2,0.064776579,6.184359336,6.206868366,7.22E-10,3.45E-08,11.63039777,0.483338189,0.483338189
EPB41L4A,-0.101954978,6.09484438,-6.169565779,9.08E-10,4.26E-08,11.62752626,-0.751419766,0.751419766
C16orf80,0.041623024,6.160880792,6.192089205,7.90E-10,3.73E-08,11.58084871,0.309187082,0.309187082
C5orf36,-0.132192355,5.581336722,-6.122556152,1.21E-09,5.45E-08,11.55874426,-0.960148032,0.960148032
CCNF,0.056023746,6.196927161,6.194277935,7.80E-10,3.69E-08,11.54772042,0.416429756,0.416429756
C2orf55,-0.102049965,6.043908284,-6.14333103,1.07E-09,4.89E-08,11.52669546,-0.746028776,0.746028776
C17orf53,0.082659373,5.724868316,6.114610558,1.27E-09,5.67E-08,11.50889975,0.598962826,0.598962826
LACTB2,0.061421084,6.009835549,6.150685347,1.02E-09,4.71E-08,11.48961192,0.450029559,0.450029559
EZH2,0.067445303,6.11855791,6.167219321,9.21E-10,4.32E-08,11.46091378,0.496726767,0.496726767
PDHA1,0.038519416,6.368410248,6.201228513,7.47E-10,3.56E-08,11.44866595,0.286915351,0.286915351
POU5F1,0.393612344,3.988546806,6.422063555,1.87E-10,1.06E-08,11.43649083,3.139510745,3.139510745
C6orf217,-0.405816633,4.213003554,-6.458879097,1.48E-10,8.57E-09,11.42266715,-3.273703388,3.273703388
GGH,0.100078884,6.13446327,6.166617644,9.25E-10,4.32E-08,11.41893645,0.737011688,0.737011688
EIF3H,0.041214179,6.63579357,6.203815039,7.35E-10,3.51E-08,11.27331169,0.307230209,0.307230209
MR1,-0.0735318,5.952978573,-6.086446048,1.51E-09,6.53E-08,11.2589005,-0.528345394,0.528345394
WDR19,-0.064915658,6.118660807,-6.115882565,1.26E-09,5.66E-08,11.25368949,-0.470479924,0.470479924
PGPEP1,-0.065955854,6.190460463,-6.12905566,1.16E-09,5.27E-08,11.25066274,-0.48006089,0.48006089
GINS3,0.058776224,5.921072741,6.090749788,1.47E-09,6.47E-08,11.23215844,0.422538247,0.422538247
IDO1,0.198477632,5.656774554,6.06713548,1.70E-09,7.21E-08,11.23002029,1.417578436,1.417578436
KIAA1609,0.061216376,6.135499331,6.129081835,1.16E-09,5.27E-08,11.21981956,0.445564509,0.445564509
TK1,0.072918764,6.313326522,6.158058369,9.75E-10,4.52E-08,11.21720043,0.53555603,0.53555603
FAM123B,0.069200342,5.952258348,6.094114524,1.44E-09,6.36E-08,11.21224095,0.498024006,0.498024006
TXNL4B,0.049177725,5.952156721,6.090200861,1.47E-09,6.48E-08,11.20383283,0.353515833,0.353515833
TMEM70,0.045681492,6.20257223,6.136560933,1.11E-09,5.08E-08,11.20360855,0.33322115,0.33322115
RNASE4,-0.07943327,6.285750743,-6.132463236,1.14E-09,5.18E-08,11.17926015,-0.578716444,0.578716444
HN1,0.056911297,6.438132914,6.164199369,9.39E-10,4.38E-08,11.16714683,0.418803595,0.418803595
CEBPG,0.039442522,6.3462884,6.146961539,1.04E-09,4.80E-08,11.1405641,0.288682719,0.288682719
PSMD14,0.036286964,6.380004897,6.148668564,1.03E-09,4.76E-08,11.12628138,0.265715028,0.265715028
C8orf38,0.061163465,6.137383417,6.109870011,1.31E-09,5.83E-08,11.10352953,0.4424925,0.4424925
CENPF,0.074798652,6.429323429,6.152679934,1.01E-09,4.66E-08,11.09656478,0.548367506,0.548367506
CCDC90A,0.049848672,6.110632653,6.09440763,1.44E-09,6.36E-08,11.05009197,0.358753072,0.358753072
FUT8,-0.070282168,6.311832766,-6.115384338,1.27E-09,5.66E-08,11.04557324,-0.509350554,0.509350554
SHMT2,0.042386538,6.413931575,6.13691698,1.11E-09,5.08E-08,11.02828105,0.30918629,0.30918629
NCAPD2,0.048452322,6.418576528,6.128233776,1.17E-09,5.28E-08,10.97041067,0.35260364,0.35260364
ACOT7,0.059882543,6.189538642,6.095025762,1.43E-09,6.35E-08,10.96228796,0.430992733,0.430992733
FAM161B,-0.123409772,5.780608347,-6.012719106,2.36E-09,9.56E-08,10.94823548,-0.866280326,0.866280326
NKX1-2,0.453702444,2.43650339,6.408486287,2.04E-10,1.14E-08,10.94545115,3.604569315,3.604569315
TTLL4,0.061455604,6.176052036,6.089675519,1.48E-09,6.48E-08,10.9427139,0.441775803,0.441775803
TBC1D7,0.053791296,6.077430389,6.070148719,1.67E-09,7.10E-08,10.94177259,0.384551221,0.384551221
ZNF250,0.049228662,6.067056779,6.066893434,1.70E-09,7.21E-08,10.93780573,0.3516038,0.3516038
PPPDE2,0.051675331,6.00622193,6.051856553,1.86E-09,7.79E-08,10.91860909,0.367325081,0.367325081
TMEM66,-0.038302056,6.609105475,-6.134294052,1.13E-09,5.14E-08,10.91225947,-0.279200068,0.279200068
NOP16,0.056915327,6.024409147,6.053970563,1.84E-09,7.73E-08,10.90643693,0.404783261,0.404783261
KLHDC1,-0.147503203,5.461105155,-6.013206106,2.35E-09,9.55E-08,10.86346693,-1.035460678,1.035460678
NETO2,0.105719232,5.991308054,6.042117862,1.97E-09,8.25E-08,10.8401054,0.748884507,0.748884507
FBXO32,0.071374696,6.270727006,6.088340554,1.49E-09,6.49E-08,10.83845435,0.513030378,0.513030378
GAL,0.396349451,4.712348119,6.088148944,1.49E-09,6.49E-08,10.81169086,2.848899121,2.848899121
FANCI,0.058658752,6.298095354,6.083047195,1.54E-09,6.63E-08,10.791334,0.421064407,0.421064407
HAUS8,0.060435206,5.894427652,6.0019692,2.51E-09,1.01E-07,10.7405669,0.422749275,0.422749275
PTK2,0.039943519,6.499675775,6.09504632,1.43E-09,6.35E-08,10.7198815,0.28748556,0.28748556
FAM198B,-0.087065603,6.49494207,-6.08398206,1.53E-09,6.61E-08,10.71803635,-0.625106467,0.625106467
FLJ41941,0.53435822,2.944378464,6.335012018,3.24E-10,1.72E-08,10.70234283,4.149601188,4.149601188
DNAJC9,0.041620795,6.281782288,6.056274357,1.81E-09,7.64E-08,10.65675813,0.296221294,0.296221294
PARP3,-0.06401891,6.091809606,-6.00585592,2.45E-09,9.92E-08,10.63846908,-0.448352121,0.448352121
ATP6V1C1,0.044779345,6.44356556,6.074518021,1.62E-09,6.96E-08,10.63610428,0.320513775,0.320513775
GINS2,0.079154845,6.067674444,6.01509332,2.32E-09,9.46E-08,10.61524457,0.555979507,0.555979507
MICALL1,0.054478304,6.22543022,6.039377318,2.01E-09,8.35E-08,10.60213798,0.385617501,0.385617501
ALDOC,0.113092108,5.954580289,5.993403384,2.64E-09,1.05E-07,10.59299212,0.789060427,0.789060427
MRPL36,0.048462972,6.111460474,6.015904356,2.31E-09,9.44E-08,10.58978494,0.340460434,0.340460434
