,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
CHRM1,0.187876574,5.006682192,2.911152104,0.003661218,0.013615674,-1.986752246,0.350570335,0.350570335
ELP2,-0.035723351,6.453017218,-3.327563216,0.000900119,0.004343773,-1.98696899,-0.084383301,0.084383301
TPTE2P3,-0.222681936,2.882255082,-2.916650735,0.003597707,0.013414889,-1.988599839,-0.41695253,0.41695253
MYO1E,0.025741851,6.298084116,3.296319159,0.001005542,0.004758714,-1.989396081,0.059785716,0.059785716
IPO13,0.017897828,6.29586332,3.293818509,0.001014456,0.004788627,-1.98975698,0.041519183,0.041519183
SYS1-DBNDD2,-0.121786677,5.196712248,-2.908454648,0.003692747,0.013707082,-1.989971566,-0.226895278,0.226895278
C19orf57,0.056623999,5.608807849,3.020903562,0.002568496,0.010220613,-1.991180945,0.112711375,0.112711375
ARL6IP1,0.020425312,6.673960122,3.384231967,0.000734633,0.003665224,-1.99390995,0.049754008,0.049754008
C7orf11,0.022559208,6.110260036,3.225110172,0.001289973,0.00584936,-1.993932806,0.050372268,0.050372268
DNAJC17,-0.030794745,5.988016699,-3.152248438,0.001656505,0.007173338,-1.99560102,-0.066032518,0.066032518
ZNF665,-0.07743899,5.398799527,-2.940319115,0.003335622,0.012621358,-1.996284559,-0.147048428,0.147048428
DAB1,-0.235912493,3.377155339,-2.909093783,0.003685254,0.013686997,-1.996752287,-0.439668186,0.439668186
TMSB10,0.025253921,6.778304209,3.406704357,0.000677219,0.003420781,-1.998686439,0.062273005,0.062273005
FAM159A,-0.132921644,4.639819347,-2.888507886,0.003933667,0.014419548,-1.999814063,-0.244715174,0.244715174
ADCYAP1R1,-0.23732524,3.453341192,-2.906801657,0.003712189,0.01376392,-2.000603716,-0.441723469,0.441723469
NEAT1,-0.034074096,6.64790857,-3.368363182,0.000777867,0.003843545,-2.000734018,-0.082298074,0.082298074
DNTTIP2,0.018768986,6.375329459,3.312547051,0.000949436,0.004537831,-2.001876184,0.043978581,0.043978581
ILDR1,-0.051360302,5.973616484,-3.136239412,0.001748941,0.007491391,-2.002016609,-0.109163114,0.109163114
C12orf69,-0.153484384,4.566203993,-2.889024104,0.003927256,0.014409437,-2.004551589,-0.282618931,0.282618931
SLC35D2,-0.023540931,6.103837553,-3.204664881,0.001384426,0.006197558,-2.007240087,-0.051973183,0.051973183
FRMD5,0.143273149,4.592894528,2.883258,0.003999409,0.01460084,-2.007713149,0.262995369,0.262995369
CHD3,-0.019535352,6.551588729,-3.346637028,0.000840902,0.004098542,-2.007998546,-0.046638124,0.046638124
SLC26A6,0.034077695,5.980167275,3.164186575,0.001590526,0.006933289,-2.008175263,0.073575811,0.073575811
C9orf46,-0.030933942,6.151295624,-3.223413764,0.001297577,0.005877087,-2.008337869,-0.06900861,0.06900861
PLEKHG3,-0.026652301,6.255765207,-3.26526331,0.001121572,0.005195635,-2.00861671,-0.060883487,0.060883487
HTN1,0.14522428,2.095350876,2.90929185,0.003682935,0.013683537,-2.010932893,0.270669252,0.270669252
D2HGDH,-0.042146544,6.03283643,-3.164686984,0.001587814,0.006924528,-2.011021251,-0.091020091,0.091020091
KCNC1,-0.224321429,4.220003547,-2.898218523,0.00381465,0.014079351,-2.011089271,-0.415312591,0.415312591
SIGLEC1,0.050367212,6.049782847,3.200358227,0.001405119,0.006273419,-2.011802261,0.110933568,0.110933568
RPL38,0.022567069,6.619507403,3.366783086,0.000782299,0.003860609,-2.012591598,0.054462104,0.054462104
ZNF397OS,-0.027380992,6.046451822,-3.174778054,0.001534027,0.006739129,-2.015256018,-0.059454983,0.059454983
ZNF876P,-0.079402226,5.131672202,-2.895060132,0.003852996,0.014192409,-2.016332309,-0.146730859,0.146730859
